trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,7,-17.376070369801784,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,12,-13.843233270410952,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,4,26.95268513496523,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",30,17,-6.9904418294043555,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,11,8.119796992112608,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,12,20.739421293046025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,16,5.68380323967903,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,12,21.373747159959077,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,7,4.607313422467681,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,13,14.046617523464246,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,10,-21.366552820116457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",30,16,26.125881839392374,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",30,20,17.70115639877412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,0,4.698696177381136,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,16,7.185940196787794,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
